FID,F_id,power,ObjID,pop_densit,road,building_3,cluster_id,priority_s,a,POINT_X,POINT_Y
127,node/8550783365,tower,12208,6630.217917,1551.758708,0.000121622,1,-1.75915602,0.340823384,37742216.77,2564439.165
128,node/8550747777,tower,11224,27421.2244,1382.109863,0.000218002,0,-0.504289497,0.843695001,37740824.73,2559552.303
129,node/8550747778,tower,11225,31664.10476,1376.305664,0.000234277,0,-0.563547926,0.819947948,37740956.93,2559556.485
130,node/8550747779,tower,11226,34477.38823,1375.912506,0.000239176,0,-0.637055288,0.790490818,37741028.65,2559636.659
131,node/8550747781,tower,11228,34611.29338,1329.924357,0.00025316,0,-0.87302881,0.695927464,37741339.56,2559641.955
132,node/8550747795,tower,11242,31947.21851,1362.321747,0.00026167,0,-0.916181213,0.678634694,37741501.87,2559645.807
133,node/8550783369,tower,12212,6496.312766,1733.363495,0.000126294,0,-2.094826273,0.206307848,37741558.59,2564906.843
134,node/8498338880,tower,7704,6682.50469,1738.921061,0.000133528,0,-2.030612055,0.23204087,37741499.09,2564965.866
135,node/8498338881,tower,7705,10980.2224,1879.227498,0.000146994,0,-1.876371869,0.29385064,37741260.78,2564999.316
136,node/8498338878,tower,7703,7418.345379,1738.921061,0.000136134,0,-1.972999554,0.255128338,37741453.21,2565015.278
137,node/8498338883,tower,7707,14845.61777,1645.228821,0.000160614,0,-1.332628532,0.511748788,37741133.4,2565286.293
138,node/8550784350,tower,12399,15614.61592,1352.501129,0.000163875,0,-1.305332082,0.522687489,37743122.45,2562357.699
139,node/8550784351,tower,12400,16184.66928,1352.501129,0.000163875,0,-1.276606865,0.53419875,37743104.33,2562364.774
140,node/8550563084,tower,11176,13460.65592,1352.501129,0.000161937,0,-1.430121491,0.472679739,37743016.49,2562423.896
141,node/12695398876,tower,15362,13442.8019,1253.809875,0.000147286,1,-1.252332245,0.543926492,37743233.29,2562503.621
142,node/8550563064,tower,11156,11635.72,1232.544525,0.000148846,1,-1.193680314,0.567430499,37743295.01,2562507.442
143,node/8550563080,tower,11172,13075.5192,1253.809875,0.000147286,1,-1.24512825,0.5468134,37743192.39,2562579.313
144,node/8550563060,tower,11152,6826.612139,1135.199829,0.000109992,1,-0.623602786,0.795881735,37744051.21,2562600.029
145,node/8550563083,tower,11175,13937.61331,1303.148722,0.000152038,1,-1.402827532,0.483617442,37743017.67,2562604.621
146,node/8550563077,tower,11169,14201.59775,1303.148722,0.000151477,1,-1.403126012,0.48349783,37743122.28,2562621.089
147,node/8550563082,tower,11174,14011.57997,1303.148722,0.000146806,1,-1.359544595,0.500962522,37743096.87,2562636.802
148,node/8550563079,tower,11171,13408.36914,1222.093433,0.000140561,1,-1.129221273,0.593261631,37743207.73,2562649.815
149,node/8550563076,tower,11168,12337.12793,1222.093433,0.000135079,1,-1.060347659,0.620861845,37743241.79,2562651.6
150,node/8550563063,tower,11155,11518.39358,1221.414388,0.000135079,1,-1.044031979,0.627400144,37743318.86,2562655.04
151,node/8550563061,tower,11153,5982.372043,1149.637492,0.000121749,1,-0.73937859,0.749486071,37743784.97,2562665.252
152,node/8550563081,tower,11173,13943.98975,1251.168457,0.000136598,1,-1.167968996,0.577733979,37743136.99,2562663.293
153,node/8550563068,tower,11160,4650.972253,1038.108317,0.000103996,1,-0.381021066,0.893093239,37744024.77,2562703.611
154,node/8550563062,tower,11154,8358.232012,1093.985982,0.000117837,1,-0.58217111,0.812484946,37743575.1,2562713.356
155,node/8550563069,tower,11161,5620.190491,1054.360087,0.000114199,1,-0.469424018,0.857666893,37743751.85,2562723.757
156,node/8550563075,tower,11167,11594.91081,1132.360962,0.000128454,1,-0.806145114,0.722730245,37743338.66,2562755.553
157,node/8550563078,tower,11170,11412.54475,1094.296402,0.000125489,1,-0.702851823,0.764123703,37743318.83,2562783.527
158,node/8498366762,tower,8150,26467.30961,1454.410726,0.000209355,0,-0.398290568,0.886172708,37738591.25,2565466.629
159,node/8498366761,tower,8149,27398.26923,1383.674764,0.000208621,0,-0.475604397,0.855190186,37738609.13,2565662.744
160,node/8550747768,tower,11215,1656.598014,1586.877116,0.000112386,1,-1.861678224,0.299738929,37740093.78,2559008.591
161,node/8550747769,tower,11216,3411.393139,1591.074005,0.000105545,1,-1.84415388,0.306761585,37739955.62,2559024.561
162,node/8550747770,tower,11217,6927.359824,1586.877116,0.000120517,1,-1.848637727,0.304964741,37739969.28,2559191.981
163,node/8550747771,tower,11218,10350.23055,1715.044189,0.000139356,0,-1.781895786,0.331710715,37739978.06,2559373.265
164,node/8550747773,tower,11220,12613.86525,1715.044189,0.000144265,0,-1.630873209,0.39223107,37740036.56,2559535.032
165,node/8550747772,tower,11219,13892.97826,1715.044189,0.000145695,0,-1.557941652,0.421457454,37739986.17,2559536.074
166,node/8550784140,tower,12363,1383.686563,1453.74353,0.000105925,1,-1.503733075,0.443180843,37740270.72,2558932.418
167,node/8550784141,tower,12364,2138.656558,1453.74353,0.000117738,1,-1.520804629,0.436339638,37740270.41,2558985.593
168,node/8550747776,tower,11223,16057.14056,1527.68217,0.000193177,0,-1.034901359,0.631059123,37740496,2559543.317
169,node/8550747775,tower,11222,12014.48028,1534.216095,0.000173881,0,-1.362841854,0.499641188,37740312.03,2559540.934
170,node/8498366766,tower,8154,22457.80679,1453.477661,0.000215594,0,-0.647361352,0.786360796,37738396.06,2565219.439
171,node/8498366765,tower,8153,22133.88386,1453.477661,0.000214332,0,-0.663417464,0.779926515,37738438.16,2565225.167
172,node/8498366764,tower,8152,22791.93203,1453.477661,0.000213609,0,-0.622220767,0.796435562,37738474.36,2565256.094
173,node/8498366763,tower,8151,25703.4126,1454.410726,0.00021164,0,-0.445768963,0.867146352,37738500.7,2565438.811
174,node/8550747774,tower,11221,12752.87155,1713.761312,0.000144541,0,-1.620750453,0.396287634,37740064.79,2559538.844
175,node/10159516032,tower,15124,25558.02987,1823.610596,0.000190271,0,-0.950990722,0.664685231,37739993.63,2565222.476
176,node/8755217115,tower,15086,27990.00247,1772.963593,0.000190497,0,-0.769956233,0.737232474,37739765.27,2565360.21
177,node/8498366760,tower,8148,28248.88576,1418.650146,0.000204163,0,-0.369825006,0.897579916,37738692.96,2565765.892
178,node/8498366758,tower,8147,31074.9221,1241.598572,0.000202177,0,-0.764640773,0.739362576,37738826.83,2566142.739
179,node/8498366757,tower,8146,28877.60233,1241.598572,0.000200864,0,-0.790050987,0.72917976,37738826.83,2566322.431
180,node/8498366756,tower,8145,30225.58085,1206.67867,0.000202554,0,-0.863818295,0.69961846,37738815.63,2566421.042
181,node/8498366768,tower,8155,30748.44859,1047.812332,0.000200619,0,-1.290948076,0.528451694,37738800.7,2566606.912
182,node/8550783091,tower,12034,8002.426896,763.7706757,0.000110773,1,-0.482956038,0.85224411,37744379.71,2565328.514
183,node/8550783353,tower,12196,9611.839285,810.5156708,0.00010736,1,-0.377633279,0.894450851,37744617.56,2565349.219
184,node/8550783115,tower,12058,16577.45772,872.260376,0.000115225,1,-0.676624228,0.774634074,37745259.42,2565365.509
185,node/8550563106,tower,11198,8589.058987,763.7706757,0.00010696,1,-0.464877026,0.859489042,37744372.27,2565363.241
186,node/8550783355,tower,12198,8864.521012,763.7706757,0.00010696,1,-0.468542008,0.858020347,37744367.12,2565391.986
187,node/8550783356,tower,12199,9493.237579,799.9723918,0.000100498,1,-0.36425611,0.89981158,37744559.56,2565449.944
188,node/8550783357,tower,12200,11249.30799,821.835083,9.54521E-05,1,-0.370361642,0.897364866,37744796.32,2565653.626
189,node/8550783358,tower,12201,11212.32466,819.7444611,8.87973E-05,1,-0.38564901,0.89123865,37744877.85,2565819.235
190,node/8497573395,tower,6274,6790.904099,849.9038493,8.62592E-05,1,-0.234709616,0.951725671,37745010.68,2566065.352
191,node/8497573396,tower,6275,5650.797382,842.9716797,7.66561E-05,1,-0.361027917,0.901105236,37744986.51,2566173.049
192,node/8497573383,tower,6262,3781.226414,774.584554,9.75612E-05,1,-0.450560491,0.865226209,37747025.61,2566149.731
193,node/8497573382,tower,6261,4343.628049,764.4248505,0.000101376,1,-0.46692221,0.858669461,37746902.15,2566226.54
194,node/8497573381,tower,6260,4940.462437,805.7527924,0.000103732,1,-0.362042925,0.900698485,37746760.95,2566230.341
195,node/8497573380,tower,6259,4833.338316,805.0747833,0.000100178,1,-0.352270832,0.904614525,37746638.38,2566327.94
196,node/8497581688,tower,6687,1869.570969,862.8016764,9.43846E-05,1,-0.371770386,0.89680033,37745822.78,2566315.546
197,node/8497573379,tower,6258,4578.280885,805.0747833,9.93321E-05,1,-0.357226754,0.902628503,37746595.2,2566363.438
198,node/8497581689,tower,6688,2800.530592,843.4443207,9.5923E-05,1,-0.34722048,0.906638389,37746089.84,2566389.377
199,node/8497573378,tower,6257,3075.992617,805.0747833,9.73403E-05,1,-0.407222583,0.882593318,37746380.58,2566435.317
200,node/8497581687,tower,6686,2615.613954,857.6463318,8.86219E-05,1,-0.350644964,0.905266071,37745635.25,2566453.214
201,node/8497581690,tower,6689,3500.66324,805.0747833,9.73403E-05,1,-0.390475145,0.889304639,37746410.58,2566473.667
202,node/8497581691,tower,6690,3582.281617,805.0747833,9.61066E-05,1,-0.386505979,0.890895231,37746559.74,2566512.492
203,node/8497581693,tower,6692,2013.678417,691.7576294,9.31877E-05,1,-0.70147337,0.7646761,37746995.25,2567019.308
204,node/8497581694,tower,6693,188.7424989,688.796936,0.000101975,1,-0.774502719,0.735410528,37747213.3,2567268.548
205,node/8497573376,tower,6255,3112.975945,797.7887166,9.9833E-05,1,-0.425117718,0.875422073,37746378.36,2566542.013
206,node/8497573377,tower,6256,3365.482801,737.6550903,9.9693E-05,1,-0.554190414,0.82369785,37746375.09,2566700.333
207,node/8497581692,tower,6691,3151.234559,691.7576294,9.12382E-05,1,-0.672734706,0.77619275,37746799.47,2566791.944
208,node/8497573373,tower,6252,5291.166405,717.0004425,0.000104578,1,-0.579268853,0.813647988,37746372.61,2566858.812
209,node/8497581686,tower,6685,1654.04744,809.0101471,8.60714E-05,1,-0.482843492,0.852289211,37745486.65,2566847.875
210,node/8497573372,tower,6251,6704.184572,711.3520101,0.000108149,1,-0.596784899,0.806628658,37746369.67,2567028.067
211,node/8497573371,tower,6250,8257.484327,654.8930054,0.000115432,1,-0.780243251,0.733110084,37746369.29,2567117.568
212,node/8497573370,tower,6249,9358.057141,679.211731,0.000115432,1,-0.729800868,0.75332422,37746316.12,2567149.488
213,node/8497581701,tower,6700,0,548.8308716,9.89187E-05,1,-1.106654636,0.60230492,37746569.34,2568920.571
214,node/8497573397,tower,6276,4046.486142,842.1829834,6.70472E-05,1,-0.510720966,0.841117673,37744941.1,2566327.406
215,node/8497581684,tower,6683,1896.351999,841.6431885,7.28381E-05,1,-0.519511832,0.837594846,37745095.93,2566581.257
216,node/8497581685,tower,6684,809.8073432,838.3311768,7.59771E-05,1,-0.544054857,0.827759544,37745188.01,2566745.835
